"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1942797525150491080","Wed Jul 09 04:08:11 +0000 2025","0","Melalui kolaborasi dengan Jateng Agro Berdikari Bulog serta pelaku usaha pangan Pemprov Jateng memberikan subsidi harga bahan pokok seperti minyak goreng telur ayam hingga cabai rawit merah. #jawatengah #gubernurjateng #ahmadluthfi #wagubjateng #tajyasin #ngopeninglakoni","1942797908811866412","","disporaparjtg","in","","0","1","0","https://x.com/undefined/status/1942797908811866412","821576106029391872",
"1942785376286040210","Wed Jul 09 03:18:24 +0000 2025","0","Melalui kolaborasi dengan Jateng Agro Berdikari Bulog serta pelaku usaha pangan Pemprov Jateng memberikan subsidi harga bahan pokok seperti minyak goreng telur ayam hingga cabai rawit merah.","1942785381147238570","","dp3ap2kb_jateng","in","","0","1","0","https://x.com/undefined/status/1942785381147238570","2711873198",
"1942571594251133330","Tue Jul 08 13:08:53 +0000 2025","0","Melalui kolaborasi dengan Jateng Agro Berdikari Bulog serta pelaku usaha pangan Pemprov Jateng memberikan subsidi harga bahan pokok seperti minyak goreng telur ayam hingga cabai rawit merah. https://t.co/raZRnrNxRr","1942571594251133330","https://pbs.twimg.com/ext_tw_video_thumb/1942571464701472769/pu/img/UAIluffpz5paUfMi.jpg","","in","","0","1","0","https://x.com/undefined/status/1942571594251133330","860418700859416576",
"1937087119241191889","Mon Jun 23 19:27:02 +0000 2025","0","@rendi89502989 @llouaeria @NarasiNewsroom Jika Selat Hormuz ditutup hingga akhir 2025 akibat perang Iran harga minyak dunia bisa melonjak meningkatkan biaya transportasi dan impor pangan di Indonesia. Untuk beras ketergantungan pada impor dari Vietnam dan Thailand dapat menyebabkan harga naik meskipun stok pemerintah","1937230940591521958","","rendi89502989","in","","0","1","0","https://x.com/undefined/status/1937230940591521958","1720665183188922368",
"1934780208802099341","Tue Jun 17 01:17:32 +0000 2025","0","3) Pengendalian inflasi; untuk menjaga daya beli masyarakat pemerintah akan mengendalikan harga pangan melalui distribusi yang efisien. -) menjaga stok pangan pokok seperti beras gula dan minyak goreng.","1934782431841956276","","txtangkringan","in","","0","1","0","https://x.com/undefined/status/1934782431841956276","1489658156989190144",
"1929893502529483092","Tue Jun 03 13:30:42 +0000 2025","0","Kegiatan ini dilaksanakan di halaman Kantor Kecamatan Tigaraksa dan menghadirkan 10 vendor pangan termasuk kelompok tani dan UMKM lokal. Berbagai kebutuhan pokok seperti beras telur minyak goreng hingga hasil hortikultura ditawarkan dengan harga lebih terjangkau dari pasaran.","1929893506627318190","","PemKabTangerang","in","","0","1","0","https://x.com/undefined/status/1929893506627318190","2480614310",
"1925027518374916299","Wed May 21 03:15:00 +0000 2025","1","Update Harga Pangan: Beras Telur Gula hingga Minyak Goreng Serempak Naik https://t.co/RVURtu7vZl","1925027518374916299","","","in","","0","0","0","https://x.com/undefined/status/1925027518374916299","47274731",
"1922873661024805153","Thu May 15 04:36:20 +0000 2025","0","Pengecekan Stok dan Harga Minyak Goreng Minyakita oleh Satgas Pangan Ditreskrimsus Polda Kalsel Satgas Pangan Direktorat Reserse Kriminal Khusus Polda Kalimantan Selatan melakukan pengecekan produk dan harga minyak goreng merek Minyakita di CV. Central Fajar Jaya Banjarmasin https://t.co/fTJ6V7LN0s","1922873661024805153","https://pbs.twimg.com/media/Gq9rZtsaAAIsPnM.jpg","","in","","0","0","0","https://x.com/undefined/status/1922873661024805153","1439087851711303681",
"1906647669314900307","Wed Apr 02 06:07:27 +0000 2025","0","@kambingbalet @ARSIPAJA Klaim Mendagri bahwa harga pangan terkendali selama Lebaran 2025 di Indonesia kemungkinan salah. Data menunjukkan kenaikan harga daging kerbau (0 45%-1 34%) cabai dan telur meski beras dan minyak goreng stabil atau turun. Fluktuasi ini terutama jelang Lebaran bertentangan https://t.co/byQ5PFn9Bb","1907313913235923047","https://pbs.twimg.com/media/Gmq59kbaMAAmRX2.jpg","kambingbalet","in","","0","0","0","https://x.com/undefined/status/1907313913235923047","1720665183188922368",
"1904772015225184659","Wed Mar 26 05:46:52 +0000 2025","0","Daftar Harga Pangan 26 Maret 2025: Telur Cabai Daging Ayam hingga Minyak Goreng https://t.co/vUcFJCLGwW","1904772015225184659","","","in","","0","0","0","https://x.com/undefined/status/1904772015225184659","848614550",
"1903961697423069274","Mon Mar 24 00:06:57 +0000 2025","0"," Pasar Pangan Murah Ramadan hadir di Situbondo! Gubernur Jatim Khofifah Indar Parawansa buka pasar di Masjid Besar Mizabul Yaqin 24 Maret 2025. Dapatkan beras telur minyak hingga cabai dengan harga super terjangkau untuk sambut Ramadan 1446 H. Yuk datang mulai pukul https://t.co/E4qij2oDQZ","1903961697423069274","https://pbs.twimg.com/media/Gmw6y4saAAA_GFA.jpg","","in","","0","0","1","https://x.com/undefined/status/1903961697423069274","1569962529178402817",
"1903081693898215798","Fri Mar 21 21:13:23 +0000 2025","4","@ARSIPAJA Pangan yang mana sih yg aman gue tanya musim panen gini beras naik minyak aja dicurangi harga telur noh gak pernah dibawah 25rb cabe mahal kata menteri lo malah suruh nanem PANGAAAN AMAAAN CUMA DI OTAK LO DOANG","1903193242390368762","","ARSIPAJA","in","","0","0","0","https://x.com/undefined/status/1903193242390368762","72274029",
"1902879770947490347","Fri Mar 21 00:27:45 +0000 2025","0","Gerakan Pangan Murah di Kantor DKP Boyolali Diserbu Warga Pasar murah itu menyediakan berbagai macam kebutuhan bahan pangan dengan harga standar seperti telur ayam beras hingga minyak goreng. https://t.co/GVrKifBwxR https://t.co/iRwbOmJ20T","1902879770947490347","https://pbs.twimg.com/media/GmhjERmXkAAuCiS.jpg","","in","","0","0","0","https://x.com/undefined/status/1902879770947490347","155169715",
"1902388758412193887","Wed Mar 19 15:56:43 +0000 2025","0","Gerakan Pangan Murah ini merupakan bagian dari upaya pemerintah dalam menjaga kesetabilan harga. Komoditas yang dijual dalam Gerakan Pangan Murah ini di antaranya minyak telur sayuran beras dan barang pokok penting masyarakat lainnya.","1902388773805289486","","humas_smd","in","","0","0","0","https://x.com/undefined/status/1902388773805289486","1108283556441157633",
"1902268784259535285","Wed Mar 19 07:59:55 +0000 2025","0","Pemkab Temanggung bersama TP PKK Kabupaten Temanggung menggelar Gerakan Pangan Murah (GPM) di depan Pendopo Pengayoman Rabu (19/3/2025). Dalam kegiatan tersebut berbagai komoditas dengan harga terjangkau disediakan untuk masyarakat umum diantaranya telur beras minyak - https://t.co/rHlYqYcoMi","1902268784259535285","https://pbs.twimg.com/ext_tw_video_thumb/1902268692001648640/pu/img/qMvnQhdQ_-Y9NEjG.jpg","","in","","0","1","0","https://x.com/undefined/status/1902268784259535285","882831079513706498",
"1902153250071318551","Wed Mar 19 00:26:17 +0000 2025","0","Sebanyak 1.646 warga telah merasakan manfaat dari program ini terutama dalam mendapatkan bahan pangan dengan harga lebih terjangkau. Beberapa komoditas yang paling diminati antara lain beras SPHP minyak goreng telur daging kerbau kentang dan daging ayam. https://t.co/oT3u8uITy4","1902154624775377122","https://pbs.twimg.com/media/GmXPb2tacAE_Lz9.jpg","brmpsayuran","in","","0","1","0","https://x.com/undefined/status/1902154624775377122","1823559306190708736",
"1901827126015500451","Tue Mar 18 02:44:55 +0000 2025","0"," SIDAK SATGAS PANGAN: TEMUAN MINYAK GORENG KURANG TAKARAN &amp; STOK MENIPIS Satgas Pangan Polres Cirebon Kota bersama Pemda Kota Cirebon melakukan sidak ke pasar tradisional untuk memastikan stabilitas harga dan ketersediaan bahan pokok. https://t.co/tPwfse3I9L","1901827126015500451","https://pbs.twimg.com/ext_tw_video_thumb/1901827050585112576/pu/img/P_fR9QWObbtF-V7G.jpg","","in","","0","0","0","https://x.com/undefined/status/1901827126015500451","1608593948146290690",
